"gamma","enforcement_effectiveness","dominant_regime","final_gini","final_top10","final_welfare","first_patron","first_guard","patron_complex_share_t3","guard_share_5pct_time"
0.2,0.8,"Transition",0.561025027851976,0.263209633408205,19.5188007472898,2,18,0.633333333333333,NA
0.25,0.8,"Transition",0.557806787046071,0.26238028815973,19.5601072726103,2,11,0.666666666666667,37
0.3,0.8,"Guard regime",0.459104220709485,0.233178001176248,14.7766067304103,2,9,0.7,17
0.35,0.8,"Guard regime",0.443708061418651,0.214038529648482,13.5674110819357,2,9,0.7,12
0.4,0.8,"Guard regime",0.41884008722787,0.205958490172818,14.86142488972,2,7,0.833333333333333,10
0.45,0.8,"Collapse",0.376506323147262,0.208424511198491,10.6364886116541,2,7,0.733333333333333,8
0.5,0.8,"Collapse",0.420412805812856,0.216429445799354,10.7021535389948,2,7,0.666666666666667,7
0.55,0.8,"Coexistence",0.462038686813619,0.221808019572506,11.4328129530903,2,6,0.766666666666667,7
0.2,0.88,"Transition",0.549152795296701,0.245369510089109,20.5303381382877,2,12,0.633333333333333,NA
0.25,0.88,"Guard regime",0.551928339659149,0.257395497044441,14.2176192539224,2,11,0.533333333333333,15
0.3,0.88,"Guard regime",0.446639993977587,0.211176826615047,14.8073643048457,2,9,0.733333333333333,15
0.35,0.88,"Guard regime",0.436830326109262,0.209035455671286,15.2755496277824,2,8,0.633333333333333,12
0.4,0.88,"Guard regime",0.455290015723536,0.214937190759165,14.6255189129445,2,7,0.7,9
0.45,0.88,"Collapse",0.43265121846971,0.21359935031665,11.661898958231,2,7,0.666666666666667,8
0.5,0.88,"Coexistence",0.438906782971198,0.209353740716622,12.352560574746,2,7,0.766666666666667,7
0.55,0.88,"Guard regime",0.446367954604244,0.211708343466259,13.4310481545402,2,6,0.6,7
0.2,0.94,"Transition",0.540012806877664,0.249776925182969,20.5334820574634,2,12,0.6,NA
0.25,0.94,"Guard regime",0.476019858321511,0.220214024536573,16.4845668351391,2,10,0.633333333333333,21
0.3,0.94,"Guard regime",0.410074826625916,0.212824398052679,15.2083466168393,2,10,0.6,11
0.35,0.94,"Guard regime",0.440394055902114,0.212727102648733,15.8333401209452,2,8,0.666666666666667,12
0.4,0.94,"Guard regime",0.431898723965494,0.21251011383607,15.2368927147778,2,7,0.766666666666667,8
0.45,0.94,"Guard regime",0.421706614306424,0.213985708929339,13.1797085819177,2,7,0.8,7
0.5,0.94,"Guard regime",0.457152261793953,0.211977480832128,13.9935256485358,2,6,0.7,7
0.55,0.94,"Coexistence",0.459071245976142,0.214522462220433,13.5292549642743,2,7,0.7,7
0.2,0.98,"Transition",0.544165231468251,0.251804739437744,20.1593257021288,2,12,0.733333333333333,NA
0.25,0.98,"Guard regime",0.470039223022223,0.210778626094563,18.1702157746509,2,10,0.633333333333333,26
0.3,0.98,"Guard regime",0.473798711773921,0.211782079365578,17.3311742601096,2,9,0.6,15
0.35,0.98,"Guard regime",0.457727068984718,0.21307026369671,16.8901997683036,2,8,0.633333333333333,12
0.4,0.98,"Guard regime",0.418488073295349,0.208914890855001,16.9153608631307,2,7,0.733333333333333,9
0.45,0.98,"Coexistence",0.412771214056922,0.206886408949926,12.2364687108826,2,6,0.733333333333333,8
0.5,0.98,"Coexistence",0.451194746230883,0.211654314518113,13.0277922456532,2,6,0.7,6
0.55,0.98,"Coexistence",0.44118943823971,0.211780004571927,13.1477782994643,2,6,0.733333333333333,6
