"parameter","value","dominant_regime","final_gini","final_top10","final_welfare","first_patron","first_guard","patron_complex_share_t3","guard_share_5pct_time"
"gamma",0.2,"Transition",0.526649880757341,0.2412346287975,21.0975563123293,2,11,0.6,NA
"gamma",0.27,"Guard regime",0.427923459596909,0.214250296938562,18.7243943399324,2,10,0.833333333333333,21
"gamma",0.34,"Guard regime",0.403227524309501,0.208490323097179,16.0256196490598,2,8,0.533333333333333,10
"gamma",0.41,"Guard regime",0.444751761081931,0.214006169956237,14.7983916375846,2,7,0.666666666666667,8
"gamma",0.48,"Coexistence",0.38785787207471,0.205012801964467,12.1587686212089,2,7,0.733333333333333,7
"gamma",0.55,"Guard regime",0.447841422000259,0.207530426744951,13.8179882071637,2,6,0.7,6
"contract_cost",0.01,"Guard regime",0.471857039967519,0.21162093996903,19.2071639957598,2,10,0.6,12
"contract_cost",0.022,"Guard regime",0.437882784355904,0.209778682659304,16.5716150112264,2,8,0.666666666666667,9
"contract_cost",0.034,"Guard regime",0.445473245144583,0.211535561666946,15.8992249866704,2,7,0.666666666666667,9
"contract_cost",0.046,"Guard regime",0.432282205880682,0.214086236292851,15.7731683086918,2,8,0.633333333333333,10
"contract_cost",0.058,"Guard regime",0.441331177439549,0.209424426939,17.7126666097154,2,6,0.6,12
"contract_cost",0.07,"Guard regime",0.412178019807019,0.21358757904929,16.4000496821271,2,6,0.533333333333333,11
"occupancy_success_prob",0.02,"Guard regime",0.492067411228834,0.211788490212786,19.6691286140181,2,8,0.7,11
"occupancy_success_prob",0.052,"Guard regime",0.472699841779924,0.212968685452603,18.2196473097255,2,8,0.566666666666667,10
"occupancy_success_prob",0.084,"Guard regime",0.428803663111294,0.209283457713653,19.4029889253309,2,8,0.566666666666667,14
"occupancy_success_prob",0.116,"Guard regime",0.426912951487662,0.20851956153381,16.7842141291647,2,8,0.666666666666667,10
"occupancy_success_prob",0.148,"Guard regime",0.40086534286981,0.208118101856276,12.6256037484731,2,8,0.633333333333333,11
"occupancy_success_prob",0.18,"Guard regime",0.383256790270345,0.209942637551779,12.8472633556628,2,8,0.666666666666667,9
"target_advantage",1.05,"Guard regime",0.411942921571801,0.209733020252716,17.7693239693035,2,7,0.633333333333333,9
"target_advantage",1.17,"Guard regime",0.447911634036114,0.213123519264925,18.2695654991683,2,8,0.6,11
"target_advantage",1.29,"Guard regime",0.464474129001266,0.211244837155975,19.3407463087789,2,8,0.733333333333333,15
"target_advantage",1.41,"Guard regime",0.440182434525367,0.209635260258409,17.6005201271637,2,8,0.7,10
"target_advantage",1.53,"Guard regime",0.429918800015543,0.210910805210919,13.0236006524806,2,9,0.6,11
"target_advantage",1.65,"Guard regime",0.44524016589947,0.209769124135558,15.8672845931378,2,8,0.733333333333333,13
